name,address,stars,rating,number of ratings,total price ($),price per night ($),description,images
Citybox Tallinn City Center,"Laeva 1, 10151 Tallinn, Harjumaa",4,8.9,5064,50,16.67,"Situated close to Baltic Railway Station, Citybox Tallinn offers guests an ideal base while visiting Tallinn. It provides free Wi-Fi, meeting rooms and an express check-in and check-out feature. Luggage storage and a 24-hour reception are just some of the available services at the hotel. In addition, the multilingual staff are on hand to offer local information. The rooms at Citybox Tallinn are comfortable with facilities including a private bathroom. They all include heating and a desk. Tallinn's attractions, including Tallink, the Tallinn Synagogue and House of the Brotherhood of Blackheads, are within a 10-minute walk of the hotel. Estonian Academy of Arts and Tallinn Town Hall are also situated within a 20-minute walk away.RevatoRead less","['https://content.r9cdn.net/rimg/himg/e8/d1/0f/leonardo-2142189-79764885_4K_O-400794.jpg?width=1020&height=1020&xhint=1560&yhint=1001&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ee/0f/4e/leonardo-2142189-79764897_4K_O-786324.jpg?width=1020&height=1020&xhint=1560&yhint=1001&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/8f/7e/97/expedia_group-5966183-259206068-187960.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6d/fe/69/revato-3308416-13662930-430233.jpg?width=1020&height=1020&xhint=1620&yhint=1001&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/96/97/66/expedia_group-5966183-233564275-206241.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Hilton Tallinn Park,"Fr. R. Kreutzwaldi 23, 10147 Tallinn, Harjumaa",4,8.9,2948,82,27.33,"Located in the city center, just steps away from the peaceful Politseiaed Park, Hilton Tallinn Park is near Tallinn’s main business area, the harbor and the Medieval Old Town. Tallinn Airport is just 10 minutes’ drive away and can be easily reached. This modern hotel in Tallinn offers easy access to a wealth of shopping opportunities, restaurants, bars, historical buildings and attractions, including the Estonian Open Air Museum, the Estonian National Opera and Tallinn Zoo. All of the comfortable guest rooms at this Tallinn hotel are flooded with natural light through floor to ceilings windows, and feature free WiFi, a work desk and an espresso machine. Upgrade to an executive room or suite for wonderful city and harbor views, and exclusive access to the Executive Lounge and seperate bath and shower. Savor grilled specialties in our casual, upscale steakhouse, The Able Butcher, and recharge with a coffee and a sweet treat in Cafe and Bar Linnutee. Plan a successful business event or dream wedding with ten flexible meeting rooms, an elegant ballroom with space for 530 people, a complimentary 24-hour business center and contemporary A/V technology. Take advantage of warm, sunny weather on the outdoor terrace and barbecue area. Refresh in the heated indoor swimming pool and maintain your exercise regime in the complimentary 24-hour fitness center. After a busy day, unwind with a massage in the spa, or soothe tired muscles in the whirlpool, sauna or steam room.HiltonRead less","['https://content.r9cdn.net/rimg/himg/dd/91/ea/leonardo-13061-154133897-058378.jpg?width=1020&height=1020&xhint=1440&yhint=1000&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/22/a0/62/ice-13061-99728005-397113.jpg?width=1020&height=1020&xhint=1497&yhint=823&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/1f/73/8d/ice-13061-99728069-421719.jpg?width=1020&height=1020&xhint=1554&yhint=952&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3d/9a/fb/ice-13061-99728122-057428.jpg?width=1020&height=1020&xhint=1555&yhint=960&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/95/62/36/leonardo-13061-154133319-731776.jpg?width=1020&height=1020&xhint=1320&yhint=653&crop=true&watermarkheight=28&watermarkpadding=10']"
Hotel St. Barbara,"Roosikrantsi 2A, 10119 Tallinn, Harjumaa",3,8.6,4628,54,18,"Comfortable hotel near Port of Tallinn Along with self parking, this smoke-free hotel has coffee/tea in a common area and free newspapers. Free buffet breakfast and free WiFi in public areas are also provided. Additionally, tour/ticket assistance, a front-desk safe, and multilingual staff are onsite. Hotel St. Barbara offers 53 accommodations with safes and hair dryers. Each accommodation is individually furnished and decorated. LED televisions come with satellite channels. Guests can surf the web using the complimentary wireless Internet access. Business-friendly amenities include desks and phones. Housekeeping is offered daily and irons/ironing boards can be requested.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/6b/a6/26/expediav2-50767-780868-660164.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a3/ab/ea/expediav2-50767-505a9f-539855.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/04/7e/8c/expedia_group-50767-55256100-457987.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/40/4c/d9/expediav2-50767-a83368-626414.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/5c/7d/9b/expedia_group-50767-156327515-394335.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Merchants House Hotel,"Dunkri 4/6, 10123 Tallinn, Harjumaa",3,8.5,1841,98,32.67,"Upscale historic hotel near Port of Tallinn A restaurant, a bar/lounge, and a sauna are available at this smoke-free hotel. WiFi in public areas is free. Additionally, spa services, conference space, and concierge services are onsite. Merchants House Hotel offers 36 accommodations with safes and coffee/tea makers. Each accommodation is individually decorated. Flat-screen televisions come with cable channels. Bathrooms include bathtubs or showers, bathrobes, slippers, and complimentary toiletries. Guests can surf the web using the complimentary wired and wireless Internet access. Business-friendly amenities include desks and phones; free local calls are provided (restrictions may apply). Hypo-allergenic bedding and irons/ironing boards can be requested. Housekeeping is provided daily. Recreational amenities at the hotel include a sauna.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/56/03/6b/expediav2-104436-3e6801-371866.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/35/5d/3b/expedia_group-104436-0ab214-810988.jpg?width=1020&height=1020&xhint=1080&yhint=667&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/9c/4c/30/expedia_group-104436-12faaa-661937.jpg?width=1020&height=1020&xhint=1120&yhint=634&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fc/f6/47/expedia_group-104436-f9ef30-625291.jpg?width=1020&height=1020&xhint=1080&yhint=667&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/88/91/28/expediav2-104436-3a1f2e-179202.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
My City Hotel,"Vana Posti 11/13, 10146 Tallinn, Harjumaa",5,8.8,2634,86,28.67,"Upscale hotel near Port of Tallinn A restaurant, a bar/lounge, and self parking are available at this smoke-free hotel. WiFi in public areas is free. Other amenities include a meeting room, concierge services, and dry cleaning. My City Hotel offers 68 accommodations with safes and hair dryers. 24-inch flat-screen televisions come with cable channels. Bathrooms include showers and complimentary toiletries. This Tallinn hotel provides complimentary wired and wireless Internet access. Business-friendly amenities include desks and phones. Housekeeping is offered daily and irons/ironing boards can be requested.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/80/c6/38/expedia_group-100040-0ef285f3-979399.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/18/4b/0a/expediav2-100040-2513db-164686.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fa/b2/d0/expediav2-100040-3111707402-807416.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/11/6b/73/expedia_group-100040-be10222a-408749.jpg?width=1020&height=1020&xhint=1080&yhint=666&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/13/82/5f/expedia_group-100040-0912d199-961319.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Original Sokos Hotel Viru,"Viru Väljak 4, 10111 Tallinn, Harjumaa",5,8.1,3224,89,29.67,"Eco-certified hotel connected to a shopping center in City Center with 2 restaurants 2 restaurants, a nightclub, and 3 bars/lounges are available at this smoke-free hotel. WiFi in public areas is free. Additionally, a fitness center, 2 coffee shops/cafes, and a snack bar/deli are onsite. Original Sokos Hotel Viru offers 516 accommodations with minibars and safes. LCD televisions come with digital channels. Bathrooms include bathtubs or showers and hair dryers. This Tallinn hotel provides complimentary wireless Internet access. Business-friendly amenities include desks and phones. In-room massages and hypo-allergenic bedding can be requested. Housekeeping is provided daily. 2 spa tubs are on site. Other recreational amenities include a sauna and a fitness center. The recreational activities listed below are available either on site or nearby; fees may apply.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/70/9a/72/leonardo-12537-159174657-874041.jpg?width=1020&height=1020&xhint=1620&yhint=999&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/88/fb/10/expedia_group-12537-228493406-384136.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/58/52/f2/expedia_group-12537-5c4f76-240390.jpg?width=1020&height=1020&xhint=960&yhint=666&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/85/9d/5f/leonardo-12537-159174749-889589.jpg?width=1020&height=1020&xhint=1500&yhint=978&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fe/fa/57/leonardo-12537-159174625-856595.jpg?width=1020&height=1020&xhint=1620&yhint=843&crop=true&watermarkheight=28&watermarkpadding=10']"
"Palace Hotel Tallinn, a member of Radisson Individuals","Vabaduse Valjak 3, 10141 Tallinn, Harjumaa",5,9.1,2657,99,33,"Upscale eco-certified hotel near Port of Tallinn An indoor pool, a restaurant, and a health club are available at this smoke-free hotel. WiFi in public areas is free. Additionally, a bar/lounge, a snack bar/deli, and a sauna are onsite. Palace Hotel Tallinn, a member of Radisson Individuals offers 79 air-conditioned accommodations with minibars and laptop-compatible safes. Beds feature premium bedding. A pillow menu is available. 32-cm LCD televisions come with digital channels. Bathrooms include bathtubs or showers, bathrobes, slippers, and complimentary toiletries. This Tallinn hotel provides complimentary wireless Internet access. Business-friendly amenities include desks and phones. Additionally, rooms include hair dryers and irons/ironing boards. Housekeeping is provided daily. Recreational amenities at the hotel include an indoor pool, a health club, and a sauna. Children under 12 years old are not allowed in the swimming pool or fitness facility without adult supervision.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/6d/09/72/ice-50774-117129843-295615.jpg?width=1020&height=1020&xhint=1555&yhint=960&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/9b/4e/16/expedia_group-50774-cd6439-295482.jpg?width=1020&height=1020&xhint=1080&yhint=666&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/bb/7e/8a/ice-140765-71936137_3XL-126014.jpg?width=1020&height=1020&xhint=1382&yhint=720&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/7a/5f/85/expediav2-50774-2962684603-707112.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fe/25/61/expedia_group-50774-159433499-457018.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Rija Old Town Hotel,"Lai, 49, 10133 Tallinn, Harjumaa",5,8.1,5197,68,22.67,"Comfortable hotel near Port of Tallinn Concierge services, a 24-hour front desk, and a computer station are available at this smoke-free hotel. WiFi in public areas is free. Additionally, tour/ticket assistance, gift shops/newsstands, and a front-desk safe are onsite. Rija Old Town Hotel offers 41 accommodations with minibars and hair dryers. Cable television is provided. Bathrooms include bathtubs or showers. Business-friendly amenities include desks, desk chairs, and phones. Housekeeping is offered daily and irons/ironing boards can be requested.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/c9/4a/43/expediav2-117827-1cbff8-760619.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/52/cb/08/expediav2-117827-7d6a70-399063.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/cc/17/68/expediav2-117827-32fa25-289652.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a2/52/4b/expedia_group-117827-391c8f21-162832.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b3/a0/0a/expediav2-117827-d6eaf3-340103.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
ibis Tallinn Center,"Juhkentali 28, 10132 Tallinn, Harjumaa",4,8.9,3643,49,16.33,"Superbly situated at the crossroads of Tallinn's business, cultural, entertainment and shopping districts, ibis Tallinn Center, ideal for business and leisure stays, boasts the perfect address for exploring the wonders of this fascinating city. From the s tunning UNESCO listed old town with its vast choice of museums, art galleries and churches to shopping centres, all are conveniently within walking distance.accorhotels.comRead less","['https://content.r9cdn.net/rimg/himg/39/ae/6a/ice-184056674-65090753_3XL-625930.jpg?width=1020&height=1020&xhint=1440&yhint=1123&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/39/ae/6a/ice-184056674-65432901_3XL-725112.jpg?width=1020&height=1020&xhint=1440&yhint=1123&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/66/95/f4/expediav2-4566799-3fc66a-078554.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b7/21/7b/leonardo-2095022-a9n7_rodbc_01_p_3000x2250_O-557197.jpg?width=1020&height=1020&xhint=1500&yhint=1170&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/39/ae/6a/ice-184056674-65432905_3XL-150038.jpg?width=1020&height=1020&xhint=1440&yhint=1123&crop=true&watermarkheight=28&watermarkpadding=10']"
"Hotel Telegraaf, Autograph Collection","Vene 9, 10123 Tallinn, Harjumaa",5,9.1,1271,159,53,"Located in one of the most complete Old Towns of Northern Europe, Telegraaf welcomes guests into the historic nerve centre of Tallinn. Perceptive of our guests different needs and expectations, we are attentive and empathetic, providing an assured service to a sophisticated clientele. Exclusive location and grand atmosphere a combination of Old Town charm, luxurious amenities, one of city’s top restaurants and a relaxing spa set in a grand building that served for years as the nerve centre.MarriottRead less","['https://content.r9cdn.net/rimg/himg/74/4c/97/leonardo-160927-167644227-552146.jpg?width=1020&height=1020&xhint=1500&yhint=1000&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/94/30/6c/leonardo-160927-167644195-545863.jpg?width=1020&height=1020&xhint=1620&yhint=1000&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fb/ef/f0/leonardo-160927-167646799-044163.jpg?width=1020&height=1020&xhint=1560&yhint=1000&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/01/71/17/leonardo-160927-169780325-899458.jpg?width=1020&height=1020&xhint=1500&yhint=1000&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/84/01/ff/leonardo-160927-169780309-893154.jpg?width=1020&height=1020&xhint=1620&yhint=1000&crop=true&watermarkheight=28&watermarkpadding=10']"
Tahetorni Hotel,"Tähetorni 16, 11625 Tallinn, Harjumaa",5,8,397,61,20.33,"Located in a wooded area on outskirts of Tallinn near the Nõmme district, Tähetorni Hotel offers large and bright rooms with cable TV and free Wi-Fi in public areas. It also has a sauna. All rooms at the Tähetorni are done in bright colours and feature wooden furniture in warm tones. Each one has a work desk. The Tähetorni’s guests can rent a bike on-site or relax in the sauna at an additional charge. The hotel’s staff is available 24/7 and provides ski storage and ticket services. Bathrobes and slippers are available at extra cost. The hotel’s restaurant serves European dishes. In the warm season guests can get their meals on the terrace. Glehni Park is within 400 metres, and Hiiu Stadium is 1.5 km away. Tallinn’s city centre is 9 km away. It can be reached by public transport within 20 minutes.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/fd/b2/59/expedia_group-202218-7dd5b56e-389992.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c3/18/47/expedia_group-202218-1956ff6c-337204.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/41/a9/2c/expedia_group-202218-3899f255-356369.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ed/29/46/expediav2-202218-c53c85-950908.jpg?width=1020&height=1020&xhint=350&yhint=540&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e6/f1/6e/expediav2-202218-7e0bdb-921389.jpg?width=1020&height=1020&xhint=540&yhint=334&crop=true&watermarkheight=28&watermarkpadding=10']"
Tallink Spa and Conference Hotel,"Sadama 11a, 10111 Tallinn, Harjumaa",4,8,4331,88,29.33,"Upscale spa hotel, a short walk to Port of Tallinn A full-service spa, an indoor pool, and a restaurant are available at this hotel. WiFi in public areas is free. Additionally, a bar/lounge, a poolside bar, and a snack bar/deli are onsite. Housekeeping is available on request. Tallink Spa and Conference Hotel offers 300 air-conditioned accommodations with minibars and safes. A pillow menu is available. Flat-screen televisions come with premium satellite channels. Bathrooms include showers, slippers, complimentary toiletries, and hair dryers. Guests can surf the web using the complimentary wireless Internet access. Business-friendly amenities include desks and phones. Housekeeping is offered on request and hypo-allergenic bedding can be requested. An indoor pool and a seasonal outdoor pool are on site. Other recreational amenities include a sauna. The recreational activities listed below are available either on site or nearby; fees may apply.Expedia GroupRead less","['https://content.r9cdn.net/rimg/himg/7d/02/df/expedia_group-170241-b65405-518340.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/0a/32/08/expedia_group-170241-97738528-103859.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/30/f0/0d/expediav2-170241-7402a2-897658.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b2/2f/90/expedia_group-170241-2015c2-642516.jpg?width=1020&height=1020&xhint=667&yhint=1120&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/2c/59/f0/expedia_group-170241-b21520-566887.jpg?width=1020&height=1020&xhint=540&yhint=334&crop=true&watermarkheight=28&watermarkpadding=10']"
Meriton Old Town Garden Hotel,"Lai 24/Pikk 29, 10133 Tallinn, Harjumaa",4,7.9,4200,54,18,"The beautiful Meriton Old Town Garden Hotel is located in the historic building in the Old Town Tallinn, between Lai and Pikk streets, featuring an inner courtyard. The hotel is located within a 2-minute walk to the Town Hall Square, while Telleskivi area is 15 minutes away. Meriton Old Town Garden Hotel features rooms with historic, medieval elements, including stone and wooden stairs in some rooms. All rooms at the Old Town Garden are individually designed and come with new bed linen and pillows. The private bathrooms come with underfloor heating, a shower and a hairdryer. There is a flat-screen TV with satellite channels in the rooms as well. Some rooms feature Old Town views and have a minibar. All rooms have a water kettle and complimentary tea/coffee. The hotel has it´s own Trofe Restaurant-Bar. The bar is located on the first floor overlooking the historical Pikk street. It offers a wide selection of alcoholic and non-alcoholic beverages, light dishes and snacks. Restaurant Trofe is inspired by the Northern food culture and it's menu features meat including game, and fish from the Baltics and Scandinavia. Front desk staff is available 24/7. Guests can relax in the courtyard or on the sunny terrace in the summer season. Meriton Old Town Garden Hotel is situated 2 km from the Tallinn’s harbour. Town Hall Square is 300 metres away, and Tallinn Lennart Meri Airport is 5 km away. There is no free parking on the hotel grounds. The free parking lot is 5 minute drive away and 10 minutes by walking. Guests will get the directions to the parking area upon check-in. NB! Parking in front of the hotel on Lai street is for free only for 15 minutes when using a parking clock!Booking.comRead less","['https://content.r9cdn.net/rimg/kimg/aa/e3/a3e6b613e031cd04.jpg?width=1020&height=1020&xhint=736&yhint=450&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e8/8d/57/expedia_group-338147-d5f432-053604.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6a/f2/88/expedia_group-338147-13659441-998859.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/16/a9/ec/expedia_group-338147-109648741-029360.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/kimg/aa/e3/c30d35900a6cdaf0.jpg?width=1020&height=1020&xhint=960&yhint=450&crop=true&watermarkheight=28&watermarkpadding=10']"
Kalev Spa Hotel & Waterpark,"Aia 18, 10111 Tallinn, Harjumaa",4,8.3,4512,85,28.33,"Upscale spa hotel near Port of Tallinn This smoke-free hotel features 2 indoor pools, a full-service spa, and free water park access. Free buffet breakfast and free WiFi in public areas are also provided. Other amenities include a restaurant, a fitness center, and a bar/lounge. Kalev Spa Hotel & Waterpark offers 119 air-conditioned accommodations with minibars and safes. Flat-screen televisions come with cable channels. Bathrooms include bathrobes and hair dryers. This Tallinn hotel provides complimentary wireless Internet access. Business-friendly amenities include desks and phones. Housekeeping is offered daily and irons/ironing boards can be requested. 2 indoor swimming pools are on site along with a children's pool. Other recreational amenities include a complimentary water park, a lazy river, a spa tub, and a sauna. The recreational activities listed below are available either on site or nearby; fees may apply.Expedia GroupRead less","['https://content.r9cdn.net/rimg/kimg/93/38/4831d1f69f1e4cde.jpg?width=1020&height=1020&xhint=479&yhint=342&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6a/aa/74/expediav2-146569-afb998-523270.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/1f/8a/7a/expedia_group-146569-177300543-366613.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/7b/e7/fe/expedia_group-146569-85543915-379009.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/kimg/93/38/f9cd82bcadd4e15d.jpg?width=1020&height=1020&xhint=479&yhint=342&crop=true&watermarkheight=28&watermarkpadding=10']"
Myapartments,"Sakala 11, 10141 Tallinn, Harjumaa",4,9.3,2428,60,20,"Featuring free WiFi, MyApartments offers accommodation in Tallinn. Nordea Concert Hall is 300 metres from the property. Private parking is available on site. The accommodation features a cable flat-screen SMART TV. There is also a kitchen, equipped with a microwave, refrigerator and stovetop. Every unit has a private bathroom with free toiletries. Towels are offered. There is a cafeteria on the ground floor of the building where guests can have lunch. Estonian National Opera is 300 metres from MyApartments. Lennart Meri Tallinn Airport is 3 km away.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/3d/58/80/expedia_group-2375559-243050407-914670.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/06/55/9b/expedia_group-2375559-d84a1f-939971.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a4/09/0c/expedia_group-2375559-ed89fb-884206.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/07/2d/22/expedia_group-2375559-16de99-930953.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/21/f3/d8/expedia_group-2375559-ca252a-092647.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Tallinn City Apartments Residence,Kesklinn,5,8.6,1271,55,18.33,"While you're here, you can enjoy all the comforts of home and more, including a refrigerator and a stovetop, as well as free WiFi and a flat-screen TV. Other amenities include laundry facilities, towels, an electric kettle, and kitchenware and utensils.ExpediaRead less","['https://content.r9cdn.net/rimg/himg/b0/9b/02/expedia_group-2587949-33867d-365111.jpg?width=1020&height=1020&xhint=1000&yhint=780&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/85/a1/b2/expedia_group-2587949-082e12-707790.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/da/77/71/expedia_group-2587949-271afd-470295.jpg?width=1020&height=1020&xhint=1080&yhint=666&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/0c/0d/a2/expedia_group-2587949-256265477-650100.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c6/80/65/expedia_group-2587949-800ce0-446348.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
